run,t_hours,errors,warns
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.0,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.008333333333333333,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.016666666666666666,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.025,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.03333333333333333,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.041666666666666664,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.05,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.058333333333333334,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.06666666666666667,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.075,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.08333333333333333,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.09166666666666666,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.1,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.10833333333333334,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.11666666666666667,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.125,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.13333333333333333,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.14166666666666666,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.15,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.15833333333333333,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.16666666666666666,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.175,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.18333333333333332,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.19166666666666668,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.2,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.20833333333333334,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.21666666666666667,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.225,0.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.23333333333333334,8.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.24166666666666667,12.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.25,14.0,2.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.25833333333333336,6.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.26666666666666666,6.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.275,6.0,0.0
r600w4p2_f0_d40_100b100l1td40_100ts10_4tl300_tb100_worker8_report,0.2833333333333333,1.0,0.0
